Age,B公司,Bowtie,F公司,Z公司,ZU公司
18,40,37,48.6,46.67,60.75
19,43.35,43,48.6,49.17,60.75
20,43.35,46,48.6,50,60.75
21,43.35,49,48.6,50,60.75
22,43.35,50,48.6,50,60.75
23,43.35,49,48.6,50,60.75
24,43.35,48,48.6,50,60.75
25,43.35,47,48.6,50,60.75
26,44.2,44,48.6,50,60.75
27,45,41,49.5,50,61.57
28,45,40,50.4,50,62.38
29,45.85,38,51.3,50,64.08
30,48.35,38,52.2,50,66.43
31,48.35,40,53.1,50,68.85
32,48.35,42,54,50,70.48
33,50.85,45,54.9,51.67,72.9
34,54.2,49,55.8,54.17,76.14
35,58.35,53,56.7,54.17,80.19
36,63.35,56,58.5,56.67,83.43
37,67.5,59,59.4,60.83,87.48
38,72.5,62,63,66.67,92.34
39,80,65,69.3,72.5,97.2
40,86.7,68,74.7,80,104.49
41,95,75,81.9,87.5,112.59
42,101.7,82,90,95,120.69
43,110,90,99,101.67,130.42
44,119.2,99,108,109.17,140.94
45,127.5,108,117.9,115,153.09
46,139.2,115,130.5,125,166.05
47,152.5,123,146.7,136.67,181.44
48,165.85,132,163.8,148.33,198.45
49,182.5,141,183.6,163.33,216.28
50,199.2,152,198,180,236.53
51,226.7,167,213.3,205,258.39
52,250,184,231.3,225,281.88
53,275.85,204,250.2,255.83,306.99
54,306.7,226,273.6,282.5,336.15
55,337.5,251,301.5,320,367.74
56,371.7,285,329.4,360,402.58
57,409.2,324,359.1,399.17,440.64
58,444.15,367,391.5,444.17,482.77
59,480.85,417,431.1,485.83,530.55
60,531.65,472,473.4,546.67,583.2
61,615,533,521.1,607.5,710.96
62,699.15,602,572.4,673.33,787.92
63,772.5,678,630,743.33,873.2
64,852.5,763,693,819.17,967.72
65,939.15,856,761.4,900.83,1072.47